title,participant,latitude,longitude,city,media_type,content_url,popup_text,marker_color
Aime - Barbacoa,Aime,20.28631548,-98.66774215,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Aime/IMG_1449.jpg,Taquito de barbacoa y consomé,orange
Aime - Dulces típicos,Aime,20.2872,-98.6781,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Aime/IMG_1457.JPG.jpeg,Comprando dulces típicos en Atotonilco,orange
Aime - Testimonio,Aime,20.2881,-98.6715,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Aime/IMG_1465.JPG.jpeg,Habitante contando historia de Atotonilco,orange
Aime - Parroquia,Aime,20.2853,-98.6765,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Aime/IMG_1479.JPG.jpeg,Una fotito la parroquia de San Agustín,orange
Aime - Alameda,Aime,20.2864,-98.6697,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Aime/IMG_1510.JPG.jpeg,Jugando en la Alameda de Atotonilco,orange
Aime - Bajo la lluvia,Aime,20.5852,-98.7704,Metztitlán,image,https://aminespinoza.com/antares/img/Aime/IMG_1524.JPG.jpeg,Disfrutando de la lluva en Metztitlán,orange
Aime - Parroquia,Aime,20.2853,-98.6765,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Aime/IMG_1527.JPG.jpeg,Entrada a la parroquia de San Agustín de Hipona,orange
Aime - Vista paisaje,Aime,20.5938,-98.7285,San Agustín Metzquititlán,image,https://aminespinoza.com/antares/img/Aime/IMG_1554.JPG.jpeg,Paisaje,orange
Aime - Alameda,Aime,20.2864,-98.6697,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Aime/WhatsApp%20Image%202026-06-10%20at%2011.40.14%20AM%20(1).jpeg,Caminando por la alameda,orange
Aime - Vista paisaje,Aime,20.5925,-98.7272,San Agustín Metzquititlán,video,https://aminespinoza.com/antares/img/Aime/WhatsApp%20Video%202026-06-10%20at%2011.40.11%20AM.mp4,Vista paisaje San Agustín Metzquititlán,orange
